iter	Passed	Remaining
326	13922	103414
327	13966	103384
328	13999	103275
329	14035	103180
330	14086	103198
331	14128	103152
332	14164	103064
333	14204	103005
334	14246	102954
335	14290	102924
336	14342	102953
337	14381	102883
338	14423	102835
339	14465	102793
340	14511	102769
341	14557	102753
342	14599	102704
343	14632	102598
344	14671	102532
345	14713	102486
346	14753	102426
347	14790	102340
348	14826	102258
349	14861	102159
350	14901	102104
351	14941	102043
352	14976	101948
353	15013	101870
354	15059	101854
355	15098	101784
356	15140	101744
357	15182	101695
358	15221	101629
359	15260	101567
360	15302	101523
361	15339	101446
362	15377	101372
363	15423	101351
364	15458	101265
365	15497	101196
366	15540	101161
367	15576	101079
368	15616	101019
369	15652	100936
370	15693	100883
371	15746	100910
372	15783	100839
373	15826	100801
374	15866	100743
375	15901	100651
376	15940	100591
377	15979	100524
378	16017	100460
379	16056	100394
380	16100	100364
381	16140	100310
382	16178	100238
383	16217	100178
384	16257	100123
385	16308	100133
386	16344	100053
387	16398	100083
388	16444	100059
389	16484	100006
390	16523	99945
391	16569	99926
392	16612	99884
393	16660	99878
394	16706	99856
395	16746	99799
396	16784	99734
397	16821	99660
398	16858	99586
399	16893	99503
400	16923	99386
401	16954	99281
402	16988	99192
403	17034	99173
404	17088	99196
405	17126	99129
406	17163	99059
407	17205	99014
408	17244	98958
409	17284	98898
410	17326	98856
411	17364	98790
412	17395	98684
413	17428	98591
414	17458	98480
415	17491	98389
416	17528	98320
417	17579	98324
418	17612	98235
419	17651	98178
420	17690	98117
421	17729	98058
422	17767	97994
423	17805	97929
424	17847	97890
425	17892	97862
426	17927	97784
427	17968	97732
428	18000	97641
429	18035	97557
430	18078	97523
431	18115	97454
432	18161	97433
433	18212	97440
434	18252	97390
435	18291	97331
436	18335	97301
437	18372	97229
438	18416	97199
439	18456	97148
440	18503	97135
441	18545	97088
442	18587	97049
443	18632	97024
444	18667	96944
445	18706	96886
446	18745	96831
447	18784	96773
448	18821	96705
449	18859	96644
450	18887	96531
451	18929	96490
452	18968	96433
453	19008	96383
454	19056	96373
455	19105	96365
456	19148	96331
457	19197	96321
458	19240	96287
459	19287	96268
460	19336	96261
461	19393	96294
462	19438	96266
463	19483	96240
464	19527	96208
465	19570	96171
466	19624	96188
467	19669	96160
468	19715	96136
469	19763	96128
470	19819	96151
471	19866	96133
472	19900	96054
473	19940	95998
474	19984	95968
475	20024	95915
476	20069	95887
477	20111	95844
478	20150	95789
479	20197	95771
480	20235	95709
481	20274	95650
482	20314	95600
483	20362	95586
484	20396	95504
485	20436	95455
486	20478	95413
487	20517	95354
488	20556	95301
489	20598	95256
490	20639	95211
491	20670	95118
492	20706	95046
493	20745	94993
494	20784	94938
495	20821	94873
496	20858	94806
497	20892	94728
498	20932	94680
499	20974	94637
500	21022	94622
501	21059	94558
502	21094	94486
503	21133	94428
504	21181	94412
505	21220	94360
506	21261	94315
507	21304	94277
508	21347	94239
509	21388	94192
510	21426	94135
511	21464	94074
512	21501	94012
513	21538	93948
514	21585	93928
515	21631	93903
516	21672	93860
517	21712	93806
518	21749	93744
519	21785	93676
520	21830	93647
521	21871	93602
522	21907	93537
523	21936	93439
524	21965	93342
525	22007	93300
526	22045	93241
527	22084	93190
528	22125	93146
529	22168	93109
530	22212	93073
531	22257	93047
532	22299	93003
533	22339	92956
534	22370	92866
535	22404	92794
536	22437	92717
537	22473	92650
538	22511	92591
539	22548	92532
540	22582	92458
541	22615	92383
542	22658	92346
543	22699	92301
544	22740	92256
545	22778	92198
546	22806	92103
547	22850	92068
548	22900	92060
549	22944	92029
550	22990	92004
551	23031	91957
552	23078	91940
553	23113	91870
554	23150	91809
555	23191	91765
556	23223	91683
557	23263	91636
558	23303	91586
559	23346	91552
560	23392	91525
561	23433	91482
562	23474	91437
563	23515	91395
564	23557	91354
565	23593	91290
566	23637	91256
567	23678	91211
568	23720	91171
569	23762	91132
570	23802	91082
571	23842	91035
572	23884	90995
573	23926	90955
574	23966	90905
575	24009	90870
576	24041	90792
577	24077	90727
578	24118	90682
579	24163	90653
580	24214	90649
581	24258	90616
582	24305	90591
583	24344	90543
584	24388	90507
585	24431	90471
586	24466	90405
587	24507	90362
588	24544	90302
589	24582	90247
590	24612	90164
591	24657	90134
592	24696	90080
593	24734	90028
594	24771	89968
595	24807	89907
596	24855	89887
597	24895	89840
598	24922	89746
599	24953	89666
600	24981	89577
601	25029	89556
602	25077	89537
603	25103	89443
604	25144	89398
605	25184	89352
606	25225	89306
607	25268	89272
608	25304	89208
609	25349	89181
610	25388	89128
611	25432	89097
612	25462	89015
613	25491	88929
614	25526	88865
615	25563	88808
616	25611	88790
617	25646	88724
618	25695	88710
619	25731	88649
620	25764	88576
621	25813	88561
622	25848	88499
623	25880	88424
624	25908	88337
625	25944	88277
626	25982	88223
627	26018	88165
628	26057	88116
629	26095	88062
630	26130	87999
631	26169	87949
632	26209	87903
633	26257	87883
634	26293	87824
635	26333	87777
636	26356	87677
637	26395	87625
638	26431	87568
639	26468	87511
640	26516	87493
641	26550	87427
642	26587	87369
643	26632	87340
644	26673	87300
645	26717	87266
646	26758	87224
647	26800	87183
648	26837	87130
649	26882	87100
650	26925	87062
651	26963	87011
652	26998	86947
653	27030	86878
654	27070	86831
655	27109	86783
656	27149	86737
657	27188	86689
658	27232	86655
659	27269	86602
660	27307	86548
661	27344	86495
662	27378	86428
663	27406	86347
664	27444	86294
665	27473	86217
666	27501	86132
667	27544	86096
668	27587	86060
669	27623	86003
670	27675	85996
671	27716	85955
672	27764	85933
673	27808	85900
674	27852	85867
675	27897	85837
676	27951	85835
677	27987	85777
678	28016	85701
679	28051	85640
680	28091	85595
681	28128	85541
682	28172	85507
683	28210	85456
684	28246	85400
685	28289	85363
686	28328	85314
687	28372	85281
688	28414	85244
689	28459	85214
690	28504	85183
691	28549	85153
692	28589	85107
693	28643	85103
694	28691	85085
695	28734	85048
696	28779	85016
697	28824	84986
698	28866	84948
699	28904	84897
700	28945	84854
701	28989	84822
702	29027	84770
703	29059	84702
704	29098	84654
705	29141	84616
706	29184	84580
707	29217	84515
708	29264	84492
709	29315	84477
710	29358	84440
711	29408	84426
712	29456	84404
713	29501	84374
714	29542	84331
715	29579	84275
716	29617	84224
717	29650	84160
718	29688	84111
719	29726	84060
720	29774	84038
721	29811	83984
722	29854	83946
723	29899	83917
724	29941	83876
725	29982	83834
726	30025	83797
727	30063	83748
728	30106	83711
729	30142	83656
730	30183	83614
731	30229	83585
732	30278	83566
733	30324	83537
734	30369	83504
735	30419	83489
736	30462	83452
737	30506	83418
738	30546	83371
739	30579	83308
740	30626	83283
741	30664	83233
742	30709	83202
743	30747	83151
744	30792	83119
745	30835	83081
746	30872	83029
747	30912	82984
748	30948	82928
749	30989	82886
750	31027	82837
751	31065	82786
752	31116	82770
753	31157	82727
754	31202	82695
755	31237	82638
756	31278	82596
757	31320	82556
758	31361	82514
759	31408	82489
760	31445	82436
761	31481	82379
762	31522	82339
763	31566	82304
764	31604	82255
765	31651	82227
766	31696	82195
767	31740	82161
768	31783	82123
769	31824	82082
770	31859	82025
771	31896	81971
772	31938	81933
773	31981	81896
774	32021	81851
775	32056	81792
776	32094	81743
777	32131	81691
778	32169	81643
779	32203	81581
780	32247	81547
781	32287	81503
782	32329	81464
783	32367	81413
784	32403	81359
785	32442	81311
786	32481	81265
787	32510	81194
788	32549	81146
789	32590	81104
790	32642	81090
791	32684	81051
792	32727	81014
793	32771	80979
794	32815	80945
795	32849	80885
796	32879	80817
797	32910	80751
798	32952	80710
799	32995	80675
800	33039	80640
801	33080	80598
802	33118	80548
803	33154	80494
804	33196	80455
805	33236	80411
806	33277	80368
807	33322	80337
808	33355	80276
809	33397	80235
810	33430	80175
811	33464	80116
812	33500	80063
813	33535	80007
814	33576	79964
815	33611	79909
816	33653	79869
817	33697	79834
818	33745	79811
819	33790	79779
820	33826	79725
821	33876	79704
822	33919	79667
823	33946	79592
824	33992	79562
825	34037	79531
826	34083	79500
827	34120	79448
828	34158	79400
829	34192	79343
830	34226	79285
831	34264	79236
832	34305	79193
833	34345	79150
834	34375	79083
835	34416	79041
836	34455	78996
837	34492	78945
838	34518	78870
839	34559	78828
840	34608	78805
841	34650	78766
842	34693	78728
843	34729	78677
844	34761	78615
845	34803	78575
846	34842	78530
847	34882	78484
848	34927	78452
849	34967	78410
850	35007	78365
851	35051	78331
852	35089	78282
853	35127	78234
854	35169	78196
855	35209	78151
856	35252	78113
857	35297	78082
858	35337	78038
859	35380	78002
860	35426	77971
861	35472	77941
862	35519	77911
863	35557	77864
864	35593	77811
865	35632	77765
866	35667	77710
867	35711	77676
868	35754	77640
869	35796	77600
870	35844	77572
871	35880	77521
872	35921	77479
873	35953	77419
874	35991	77371
875	36030	77326
876	36070	77282
877	36108	77234
878	36144	77182
879	36188	77148
880	36236	77121
881	36277	77078
882	36316	77034
883	36354	76986
884	36395	76945
885	36425	76880
886	36460	76826
887	36507	76796
888	36551	76762
889	36588	76713
890	36629	76670
891	36670	76629
892	36715	76596
893	36763	76569
894	36805	76530
895	36847	76491
896	36892	76457
897	36931	76413
898	36983	76394
899	37034	76373
900	37083	76349
901	37136	76331
902	37181	76298
903	37231	76276
904	37278	76245
905	37321	76208
906	37364	76171
907	37410	76139
908	37450	76096
909	37493	76059
910	37544	76036
911	37597	76018
912	37637	75975
913	37676	75930
914	37711	75877
915	37760	75850
916	37800	75806
917	37843	75769
918	37891	75740
919	37930	75695
920	37973	75657
921	38013	75613
922	38053	75571
923	38100	75541
924	38146	75510
925	38188	75470
926	38238	75445
927	38280	75405
928	38316	75354
929	38354	75306
930	38398	75271
931	38436	75224
932	38484	75194
933	38527	75156
934	38567	75112
935	38607	75069
